,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
389,98.5,4.225,10389150.0,127197000.0,3.0,107.16
390,98.2,4.575,10453783.0,127237000.0,3.1,108.03
391,97.9,4.225,10530582.0,127240000.0,3.6,116.24
392,97.9,3.575,10299205.0,127225000.0,3.5,119.29
393,97.8,4.4,10475243.0,127177000.0,3.3,118.25
394,97.6,4.225,10545473.0,127158000.0,3.5,118.59
395,97.9,4.275,10533572.0,127066000.0,3.6,120.37
396,98.4,4.425,10673776.0,127112000.0,3.6,119.57
397,98.7,4.2,10692680.0,127080000.0,4.1,120.82
398,98.4,4.2,10572235.0,127109000.0,3.8,123.7
399,98.3,4.5,10600079.0,127141000.0,3.9,123.31
400,98.4,4.125,10645145.0,127128000.0,4.1,123.17
401,98.5,3.975,10544243.0,127065000.0,3.8,120.13
402,98.5,3.925,10611646.0,127094745.0,3.6,119.99
403,98.1,4.35,10707318.0,127104000.0,3.3,122.58
404,98.1,4.175,10445904.0,127106000.0,3.1,121.78
405,97.7,3.925,10752178.0,127053000.0,3.1,118.18
406,97.8,3.8,10612579.0,127050000.0,3.1,115.01
407,97.9,3.575,10493661.0,126992000.0,3.0,113.05
408,98.1,4.425,10564187.0,127029000.0,3.3,109.72
409,98.2,3.9,10639122.0,126988000.0,3.3,109.24
410,98.1,3.85,10534676.0,127042000.0,3.3,105.44
411,97.9,4.075,10614009.0,127076000.0,3.3,103.97
412,97.9,4.05,10706298.0,127067000.0,3.2,101.28
413,98.0,3.6,10625745.0,127002000.0,3.4,101.99
414,98.6,3.75,10698192.0,127042000.0,3.6,103.81
415,98.6,4.075,10778985.0,127055000.0,3.8,108.33
416,98.4,3.85,10664234.0,127044000.0,3.9,116.01
417,98.2,3.7,10734419.0,126955000.0,3.9,114.69
418,98.1,3.7,10813202.0,126933000.0,4.1,113.13
419,98.1,3.525,10715594.0,126906000.0,4.2,113.02
420,98.5,3.5,10775029.0,126920000.0,3.9,110.08
421,98.6,3.575,10839208.0,126893000.0,3.8,112.24
422,98.5,3.25,10789664.0,126943000.0,3.9,110.89
423,98.3,3.85,10832242.0,126972000.0,4.0,112.5
424,98.5,3.725,10891472.0,126949000.0,4.0,109.9
425,98.8,3.175,10804405.0,126881000.0,4.0,110.67
426,98.8,3.1,10866908.0,126919000.0,4.1,112.94
427,99.1,3.275,10954229.0,126934000.0,4.0,112.89
428,99.4,3.1,10857537.0,126922000.0,3.6,112.96
429,99.5,3.15,10914761.0,126825000.0,3.4,110.74
430,99.5,3.1,10990006.0,126851000.0,3.2,107.9
431,99.2,3.45,10878130.0,126743000.0,3.1,106.01
432,99.1,3.3,10942186.0,126760000.0,3.2,107.49
433,99.3,2.75,11016037.0,126732000.0,3.2,109.74
434,99.2,3.2,10889851.0,126783000.0,3.1,110.02
435,99.2,3.3,10949291.0,126811000.0,2.9,111.41
436,99.8,3.05,11020142.0,126785000.0,2.9,111.06
437,99.9,2.825,10917685.0,126714000.0,2.8,111.91
438,100.2,2.95,10986022.0,126749000.0,2.7,112.81
439,100.0,3.35,11072575.0,126765000.0,2.3,113.36
440,99.7,3.075,11005266.0,126753000.0,2.4,112.38
441,99.7,3.225,11070214.0,126641000.0,2.3,108.97
442,99.7,2.975,11146660.0,126642000.0,2.4,110.36
443,99.7,3.45,11033543.0,126587000.0,2.4,111.22
444,100.0,3.125,11094723.0,126600000.0,2.4,111.63
445,100.0,3.0,11156493.0,126534000.0,2.5,109.76
446,99.8,2.875,11054353.0,126612000.0,2.2,108.07
447,99.8,2.725,11101326.0,126633000.0,2.2,108.23
448,100.0,2.775,11175159.0,126593000.0,2.3,106.34
449,100.1,2.825,11049286.0,126513000.0,2.3,107.4
450,100.4,2.85,11110846.0,126555000.0,2.3,108.12
451,100.5,2.7,11199226.0,126553000.0,2.6,108.88
452,100.5,2.8,11107807.0,126540000.0,2.6,109.18
453,100.5,3.225,11163115.0,126387000.0,2.6,109.38
454,100.3,3.025,11246649.0,126409000.0,2.8,109.96
